time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
4,192512,53,0.11384912,152,0.09203428,0.104833984375,104.57252502441406,0.01259618,0.049829959869384766,930,0.0001,-0.013149060491559793,1.067448616027832,137.40256288051606,0.2,-43.01874315738678
5,194560,68,0.11427605,150,12.859111,0.085205078125,46.777442932128906,0.010918984,0.012023687362670898,940,0.0001,-0.013203624564630445,1.0676716566085815,125.04957249164582,0.2,-43.040595817565915
6,196608,82,0.11431961,148,2.4196699,0.089306640625,10.658296585083008,0.013702081,0.05039870738983154,950,0.0001,-0.008310308086220176,1.0682127475738525,32.31985559463501,0.2,-43.04882047176361
7,198656,96,0.11480136,148,0.2843593,0.11962890625,36.5514030456543,0.01365714,0.03146636486053467,960,0.0001,-0.011561886957497335,1.0695199966430664,97.85095988512039,0.2,-43.073688530921935
8,200704,112,0.116067685,145,-0.026946433,0.1138671875,88.08148956298828,0.015614786,0.013409256935119629,970,0.0001,-0.014866742768208496,1.0703868865966797,143.21314437389373,0.2,-43.104579305648805
9,202752,129,0.115961134,142,-0.6122181,0.089111328125,59.81306838989258,0.012748491,0.015309751033782959,980,0.0001,-0.01395455805468373,1.0710896253585815,159.0349315404892,0.2,-43.12214114665985
10,204800,146,0.11633338,139,-1.3387252,0.151953125,6.284876346588135,0.014350218,0.13103967905044556,990,0.0001,-0.012755266333988402,1.0718414783477783,19.445287185907365,0.2,-43.14617290496826
11,206848,163,0.116846524,137,0.24706624,0.103076171875,128.4141845703125,0.013523016,0.01889634132385254,1000,0.0001,-0.014609824752551504,1.0729731321334839,138.15963952541352,0.2,-43.16913919448852
12,208896,178,0.11698904,137,-5.9809103,0.074072265625,52.83464813232422,0.010895565,0.030726611614227295,1010,0.0001,-0.014931601070566103,1.0734179019927979,140.70757672786712,0.2,-43.19301600456238
13,210944,193,0.11703063,137,2.3784835,0.11708984375,5.80855131149292,0.013150139,-0.04124784469604492,1020,0.0001,-0.014669765176950022,1.0737957954406738,19.91090607047081,0.2,-43.202204775810245
14,212992,207,0.117457196,138,1.5615826,0.104345703125,33.782718658447266,0.0125177605,0.002239823341369629,1030,0.0001,-0.01379366947512608,1.074478268623352,67.43449034690858,0.2,-43.21700847148895
15,215040,222,0.11810995,138,0.018771669,0.16396484375,45.09425354003906,0.018582717,0.03465735912322998,1040,0.0001,-0.013008884162991308,1.0755645036697388,88.2622188448906,0.2,-43.24072885513306
1,217088,13,0.11796769,148,3.5532746,0.23212890625,28.360380172729492,0.019177478,0.0008823275566101074,1050,0.0001,-0.011958327527099754,1.0767384767532349,85.93425586223603,0.2,-43.27381110191345
2,219136,27,0.1182828,148,-0.40597245,0.20205078125,5.689754009246826,0.019069599,0.12759125232696533,1060,0.0001,-0.01620825653662905,1.0780441761016846,13.675165343284608,0.2,-43.3068766117096
3,221184,42,0.118701376,145,0.504586,0.136572265625,24.167125701904297,0.015260957,0.04898279905319214,1070,0.0001,-0.009514338507142384,1.0785744190216064,78.35080862045288,0.2,-43.33067059516907
